"","Year","Area","Street","Street.2"
"573",2011,"","Downfield Dr.",""
"574",2011,"","Dudley Bus Station",""
"575",2011,"","Dwellings Lan.",""
"576",2011,"","EAFO",""
"577",2011,"","Edgbaston Cricket Ground",""
"578",2011,"","Edgbaston Pk. Rd.",""
"579",2011,"","Exeter Rd Hubert Rd",""
"580",2011,"","Fordhouse Lan.",""
"581",2011,"","Four ACres Quinton",""
"582",2011,"","Frogmill Rd. Frankley",""
"583",2011,"","Genners Lan.",""
"584",2011,"","Glastonbury Rd.",""
"585",2011,"","Great Pk. Rubery",""
"586",2011,"","Griffins Brook Lan.",""
"587",2011,"","Grosvenor Shopping Centre",""
"588",2011,"","Hagley Rd.",""
"589",2011,"","Hagley Rd.",""
"590",2011,"","Hagley Rd.",""
"591",2011,"","Hagley Rd.",""
"592",2011,"","Hagley Rd.",""
"593",2011,"","Hagley Rd.",""
"594",2011,"","Hagley Rd.",""
"595",2011,"","Hagley Rd.",""
"596",2011,"","Hagley Rd.",""
"597",2011,"","Hagley Rd. Edgbaston",""
"598",2011,"","Hagley Rd. Eedgbaston",""
"599",2011,"","Harborne Cricket Club",""
"600",2011,"","Harborne High St",""
"601",2011,"","Harborne High Str.",""
"602",2011,"","Harborne High Str.",""
"603",2011,"","Harborne High Str.",""
"604",2011,"","Harborne Pk. Rd.",""
"605",2011,"","Harborne Police Station",""
"606",2011,"","Harbourne Cricket Club",""
"607",2011,"","Hawkesley End",""
"608",2011,"","Hawkesley Square",""
"609",2011,"","Hazelwell Str.",""
"610",2011,"","Heathmill Lan. Digbeth",""
"611",2011,"","Herons Wood",""
"612",2011,"","High St",""
"613",2011,"","High St Harborne",""
"614",2011,"","High St Harborne",""
"615",2011,"","High St Northfield",""
"616",2011,"","High Str. Harborne",""
"617",2011,"","High Str. Harborne",""
"618",2011,"","High Str. Harborne",""
"619",2011,"","High Str. Harborne",""
"620",2011,"","High Str. Harbourne",""
"621",2011,"","High Str. Harborne",""
"622",2011,"","High Str. Harborne",""
"623",2011,"","Highfdield Lan.",""
"624",2011,"","Highfield Lan.",""
"625",2011,"","Highfield Lan. Quinton",""
"626",2011,"","Hoggs Lan. Northfield",""
